time,inflow,precip_past1min,wind_speed,humidity
2023-02-01 00:00:00+00:00,343.62847589937945,0.0,740.018333333333,0.0
2023-02-01 01:00:00+00:00,327.0306584025632,0.08999999999999998,758.9833333333335,0.0
2023-02-01 02:00:00+00:00,327.5593840859375,0.0,735.0066666666668,0.0
2023-02-01 03:00:00+00:00,317.81206189017115,0.0,755.0133333333328,0.0
2023-02-01 04:00:00+00:00,320.1801498925746,0.0,651.0183333333345,0.0
2023-02-01 05:00:00+00:00,369.92688916658466,0.0,633.0083333333337,0.0
2023-02-01 06:00:00+00:00,416.30747497925876,0.0,663.9899999999999,0.0
2023-02-01 07:00:00+00:00,439.92853572449667,0.0,682.9799999999998,0.0
2023-02-01 08:00:00+00:00,409.426365920555,0.0,601.0433333333334,0.0
2023-02-01 09:00:00+00:00,412.5541312789863,0.0,555.0016666666666,0.0
2023-02-01 10:00:00+00:00,385.8814435486219,0.0,574.9850000000002,0.0
2023-02-01 11:00:00+00:00,397.21324335111035,0.0,580.0083333333333,0.0
2023-02-01 12:00:00+00:00,386.7763874668838,0.0,531.0133333333331,0.0
2023-02-01 13:00:00+00:00,395.7136112838249,0.0,483.01166666666626,0.0
2023-02-01 14:00:00+00:00,389.20284503191294,0.0,456.9966666666668,0.0
2023-02-01 15:00:00+00:00,375.0189392815639,0.0,494.01333333333366,0.0
2023-02-01 16:00:00+00:00,376.5544043068766,0.5493333333333336,388.04166666666725,0.0
2023-02-01 17:00:00+00:00,671.3722708190606,0.4206666666666668,428.9483333333331,0.0
2023-02-01 18:00:00+00:00,604.1344930447829,0.0,523.9883333333336,0.0
2023-02-01 19:00:00+00:00,431.3327816792582,0.0,576.9983333333333,0.0
2023-02-01 20:00:00+00:00,414.96736823905985,0.0,555.0166666666667,0.0
2023-02-01 21:00:00+00:00,436.9777602513147,0.08999999999999998,521.9749999999999,0.0
2023-02-01 22:00:00+00:00,374.3014751458734,1.1500000000000001,514.0283333333335,0.0
2023-02-01 23:00:00+00:00,365.30893567540545,0.30000000000000016,410.0549999999997,0.0
2023-02-02 00:00:00+00:00,349.5430700978059,0.0,180.03999999999976,0.0
2023-02-02 01:00:00+00:00,340.99060147600073,0.0,211.94166666666652,0.0
2023-02-02 02:00:00+00:00,328.980653785797,0.0,402.97166666666647,0.0
2023-02-02 03:00:00+00:00,325.7117946908817,0.0,468.99166666666684,0.0
2023-02-02 04:00:00+00:00,338.153924910354,0.08966666666666664,392.0149999999998,0.0
2023-02-02 05:00:00+00:00,387.0826236092015,0.19033333333333338,386.0050000000001,0.0
2023-02-02 06:00:00+00:00,413.78610805368214,0.0,385.00500000000034,0.0
2023-02-02 07:00:00+00:00,444.82714930380223,0.0,394.0050000000001,0.0
2023-02-02 08:00:00+00:00,427.99080282516326,0.0,364.98666666666685,0.0
2023-02-02 09:00:00+00:00,414.36489451782074,0.0,435.98999999999984,0.0
2023-02-02 10:00:00+00:00,389.09850421429553,0.0,441.00500000000005,0.0
2023-02-02 11:00:00+00:00,380.4829353949994,0.0,389.0033333333334,0.0
2023-02-02 12:00:00+00:00,381.11346559464135,0.0,385.00999999999976,0.0
2023-02-02 13:00:00+00:00,412.4950791576219,0.0,311.0283333333334,0.0
2023-02-02 14:00:00+00:00,362.89690931025814,0.0,230.03166666666644,0.0
2023-02-02 15:00:00+00:00,347.01839090810444,0.0,143.00999999999996,0.0
2023-02-02 16:00:00+00:00,368.0640252954683,0.0,142.9916666666665,0.0
2023-02-02 17:00:00+00:00,349.7731406097168,0.0,109.01333333333335,0.0
2023-02-02 18:00:00+00:00,345.09483625571534,0.0,56.021666666666604,0.0
2023-02-02 19:00:00+00:00,355.88714792783884,0.0,135.9633333333333,0.0
2023-02-02 20:00:00+00:00,337.89645019836655,0.0,102.0166666666667,0.0
2023-02-02 21:00:00+00:00,312.4038710555355,0.0,100.99166666666666,0.0
2023-02-02 22:00:00+00:00,301.86177249789904,0.0,102.01333333333343,0.0
2023-02-02 23:00:00+00:00,278.3293248091871,0.0,70.00833333333333,0.0
2023-02-03 00:00:00+00:00,255.39589680180876,0.0,98.98499999999997,0.0
2023-02-03 01:00:00+00:00,257.57567631887497,0.0,196.9599999999998,0.0
2023-02-03 02:00:00+00:00,248.02735135369025,0.0,336.9650000000002,0.0
2023-02-03 03:00:00+00:00,266.86820098509503,0.20999999999999994,382.98499999999973,0.0
2023-02-03 04:00:00+00:00,566.337709074293,0.739166666666667,417.9950000000002,0.0
2023-02-03 05:00:00+00:00,1065.7592491750656,0.5608333333333334,394.0133333333332,0.0
2023-02-03 06:00:00+00:00,1428.732374793568,0.7295000000000001,463.97833333333347,0.0
2023-02-03 07:00:00+00:00,1718.790918064077,2.8601666666666685,393.0416666666662,0.0
2023-02-03 08:00:00+00:00,2107.425228106702,4.817,285.0099999999998,0.0
2023-02-03 09:00:00+00:00,2442.7551185312786,4.011833333333334,252.94000000000028,0.0
2023-02-03 10:00:00+00:00,1710.291643878144,1.561333333333333,390.9916666666669,0.0
2023-02-03 11:00:00+00:00,1134.8200341338245,0.2901666666666669,512.0083333333332,0.0
2023-02-03 12:00:00+00:00,790.0795435145218,0.09999999999999991,501.00666666666683,0.0
2023-02-03 13:00:00+00:00,684.47901392491,0.0,406.03999999999985,0.0
2023-02-03 14:00:00+00:00,602.8513913240205,0.0,326.01833333333366,0.0
2023-02-03 15:00:00+00:00,607.1129057755761,0.0,313.9766666666669,0.0
2023-02-03 16:00:00+00:00,591.458123302224,0.0,388.981666666667,0.0
